Name,Unique ID,Indicator ID,Measure,Measure Info,Geo Join ID,Geo Type Name,Geo Place Name,Time Period,Start_Date,Data Value,Message
Respiratory hospitalizations due to PM2.5 (age 20+),131509,650,Estimated annual rate,"per 100,000 adults",103,UHF42,Fordham - Bronx Pk,2009-2011,01/01/2009,20.5,
Respiratory hospitalizations due to PM2.5 (age 20+),131508,650,Estimated annual rate,"per 100,000 adults",102,UHF42,Northeast Bronx,2009-2011,01/01/2009,18.6,
Respiratory hospitalizations due to PM2.5 (age 20+),628534,650,Estimated annual rate,"per 100,000 adults",102,UHF42,Northeast Bronx,2015-2017,01/01/2015,15.4,
Respiratory hospitalizations due to PM2.5 (age 20+),130884,650,Estimated annual rate,"per 100,000 adults",102,UHF42,Northeast Bronx,2005-2007,01/01/2005,25.9,
Respiratory hospitalizations due to PM2.5 (age 20+),518790,650,Estimated annual rate,"per 100,000 adults",4,Borough,Queens,2012-2014,01/02/2012,8.68,
Respiratory hospitalizations due to PM2.5 (age 20+),628531,650,Estimated annual rate,"per 100,000 adults",4,Borough,Queens,2015-2017,01/01/2015,9.6,
Respiratory hospitalizations due to PM2.5 (age 20+),131553,650,Estimated annual rate,"per 100,000 adults",4,Borough,Queens,2009-2011,01/01/2009,11.4,
Respiratory hospitalizations due to PM2.5 (age 20+),131551,650,Estimated annual rate,"per 100,000 adults",2,Borough,Brooklyn,2009-2011,01/01/2009,13.3,
Respiratory hospitalizations due to PM2.5 (age 20+),131513,650,Estimated annual rate,"per 100,000 adults",107,UHF42,Hunts Point - Mott Haven,2009-2011,01/01/2009,30.2,
Respiratory hospitalizations due to PM2.5 (age 20+),131550,650,Estimated annual rate,"per 100,000 adults",1,Borough,Bronx,2009-2011,01/01/2009,20.6,
Respiratory hospitalizations due to PM2.5 (age 20+),518788,650,Estimated annual rate,"per 100,000 adults",2,Borough,Brooklyn,2012-2014,01/02/2012,11.53,
Respiratory hospitalizations due to PM2.5 (age 20+),518787,650,Estimated annual rate,"per 100,000 adults",1,Borough,Bronx,2012-2014,01/02/2012,17.98,
Respiratory hospitalizations due to PM2.5 (age 20+),628529,650,Estimated annual rate,"per 100,000 adults",2,Borough,Brooklyn,2015-2017,01/01/2015,10.5,
Respiratory hospitalizations due to PM2.5 (age 20+),628528,650,Estimated annual rate,"per 100,000 adults",1,Borough,Bronx,2015-2017,01/01/2015,19.6,
Respiratory hospitalizations due to PM2.5 (age 20+),130926,650,Estimated annual rate,"per 100,000 adults",1,Borough,Bronx,2005-2007,01/01/2005,30.8,
Respiratory hospitalizations due to PM2.5 (age 20+),130927,650,Estimated annual rate,"per 100,000 adults",2,Borough,Brooklyn,2005-2007,01/01/2005,19.6,
Respiratory hospitalizations due to PM2.5 (age 20+),130889,650,Estimated annual rate,"per 100,000 adults",107,UHF42,Hunts Point - Mott Haven,2005-2007,01/01/2005,41,
Respiratory hospitalizations due to PM2.5 (age 20+),131511,650,Estimated annual rate,"per 100,000 adults",105,UHF42,Crotona -Tremont,2009-2011,01/01/2009,25.1,
Respiratory hospitalizations due to PM2.5 (age 20+),518794,650,Estimated annual rate,"per 100,000 adults",103,UHF42,Fordham - Bronx Pk,2012-2014,01/02/2012,17.08,
Respiratory hospitalizations due to PM2.5 (age 20+),628537,650,Estimated annual rate,"per 100,000 adults",105,UHF42,Crotona -Tremont,2015-2017,01/01/2015,21.4,
Respiratory hospitalizations due to PM2.5 (age 20+),130885,650,Estimated annual rate,"per 100,000 adults",103,UHF42,Fordham - Bronx Pk,2005-2007,01/01/2005,28.1,
Respiratory hospitalizations due to PM2.5 (age 20+),130887,650,Estimated annual rate,"per 100,000 adults",105,UHF42,Crotona -Tremont,2005-2007,01/01/2005,33.7,
Respiratory hospitalizations due to PM2.5 (age 20+),131512,650,Estimated annual rate,"per 100,000 adults",106,UHF42,High Bridge - Morrisania,2009-2011,01/01/2009,27.6,
Respiratory hospitalizations due to PM2.5 (age 20+),518789,650,Estimated annual rate,"per 100,000 adults",3,Borough,Manhattan,2012-2014,01/02/2012,10.94,
Respiratory hospitalizations due to PM2.5 (age 20+),518797,650,Estimated annual rate,"per 100,000 adults",106,UHF42,High Bridge - Morrisania,2012-2014,01/02/2012,23.46,
Respiratory hospitalizations due to PM2.5 (age 20+),628538,650,Estimated annual rate,"per 100,000 adults",106,UHF42,High Bridge - Morrisania,2015-2017,01/01/2015,25.8,
Respiratory hospitalizations due to PM2.5 (age 20+),130888,650,Estimated annual rate,"per 100,000 adults",106,UHF42,High Bridge - Morrisania,2005-2007,01/01/2005,42.2,
Respiratory hospitalizations due to PM2.5 (age 20+),130928,650,Estimated annual rate,"per 100,000 adults",3,Borough,Manhattan,2005-2007,01/01/2005,18.3,
Respiratory hospitalizations due to PM2.5 (age 20+),130914,650,Estimated annual rate,"per 100,000 adults",404,UHF42,Bayside - Little Neck,2005-2007,01/01/2005,15.1,
Respiratory hospitalizations due to PM2.5 (age 20+),131517,650,Estimated annual rate,"per 100,000 adults",204,UHF42,East New York,2009-2011,01/01/2009,13.9,
Respiratory hospitalizations due to PM2.5 (age 20+),131510,650,Estimated annual rate,"per 100,000 adults",104,UHF42,Pelham - Throgs Neck,2009-2011,01/01/2009,19.7,
Respiratory hospitalizations due to PM2.5 (age 20+),628536,650,Estimated annual rate,"per 100,000 adults",104,UHF42,Pelham - Throgs Neck,2015-2017,01/01/2015,15.9,
Respiratory hospitalizations due to PM2.5 (age 20+),130904,650,Estimated annual rate,"per 100,000 adults",304,UHF42,Upper West Side,2005-2007,01/01/2005,15.3,
Respiratory hospitalizations due to PM2.5 (age 20+),130886,650,Estimated annual rate,"per 100,000 adults",104,UHF42,Pelham - Throgs Neck,2005-2007,01/01/2005,24.4,
Respiratory hospitalizations due to PM2.5 (age 20+),130900,650,Estimated annual rate,"per 100,000 adults",211,UHF42,Williamsburg - Bushwick,2005-2007,01/01/2005,31.6,
Respiratory hospitalizations due to PM2.5 (age 20+),131554,650,Estimated annual rate,"per 100,000 adults",5,Borough,Staten Island,2009-2011,01/01/2009,14.2,
Respiratory hospitalizations due to PM2.5 (age 20+),518791,650,Estimated annual rate,"per 100,000 adults",5,Borough,Staten Island,2012-2014,01/02/2012,13.6,
Respiratory hospitalizations due to PM2.5 (age 20+),131539,650,Estimated annual rate,"per 100,000 adults",405,UHF42,Ridgewood - Forest Hills,2009-2011,01/01/2009,12.4,
Respiratory hospitalizations due to PM2.5 (age 20+),628535,650,Estimated annual rate,"per 100,000 adults",103,UHF42,Fordham - Bronx Pk,2015-2017,01/01/2015,19.4,
Respiratory hospitalizations due to PM2.5 (age 20+),518796,650,Estimated annual rate,"per 100,000 adults",105,UHF42,Crotona -Tremont,2012-2014,01/02/2012,20.75,
Respiratory hospitalizations due to PM2.5 (age 20+),518814,650,Estimated annual rate,"per 100,000 adults",305,UHF42,Upper East Side,2012-2014,01/02/2012,8.38,
Respiratory hospitalizations due to PM2.5 (age 20+),628555,650,Estimated annual rate,"per 100,000 adults",305,UHF42,Upper East Side,2015-2017,01/01/2015,6.7,
Respiratory hospitalizations due to PM2.5 (age 20+),131541,650,Estimated annual rate,"per 100,000 adults",407,UHF42,Southwest Queens,2009-2011,01/01/2009,10.5,
Respiratory hospitalizations due to PM2.5 (age 20+),131524,650,Estimated annual rate,"per 100,000 adults",211,UHF42,Williamsburg - Bushwick,2009-2011,01/01/2009,18.2,
Respiratory hospitalizations due to PM2.5 (age 20+),628543,650,Estimated annual rate,"per 100,000 adults",204,UHF42,East New York,2015-2017,01/01/2015,13.2,
Respiratory hospitalizations due to PM2.5 (age 20+),131519,650,Estimated annual rate,"per 100,000 adults",206,UHF42,Borough Park,2009-2011,01/01/2009,11.8,
Respiratory hospitalizations due to PM2.5 (age 20+),131552,650,Estimated annual rate,"per 100,000 adults",3,Borough,Manhattan,2009-2011,01/01/2009,12.6,
Respiratory hospitalizations due to PM2.5 (age 20+),131544,650,Estimated annual rate,"per 100,000 adults",410,UHF42,Rockaways,2009-2011,01/01/2009,18.8,
Respiratory hospitalizations due to PM2.5 (age 20+),628545,650,Estimated annual rate,"per 100,000 adults",206,UHF42,Borough Park,2015-2017,01/01/2015,8.8,
Respiratory hospitalizations due to PM2.5 (age 20+),518819,650,Estimated annual rate,"per 100,000 adults",310,UHF42,Lower Manhattan,2012-2014,01/02/2012,6.08,
Respiratory hospitalizations due to PM2.5 (age 20+),628530,650,Estimated annual rate,"per 100,000 adults",3,Borough,Manhattan,2015-2017,01/01/2015,9.6,
Respiratory hospitalizations due to PM2.5 (age 20+),131542,650,Estimated annual rate,"per 100,000 adults",408,UHF42,Jamaica,2009-2011,01/01/2009,12.7,
Respiratory hospitalizations due to PM2.5 (age 20+),518806,650,Estimated annual rate,"per 100,000 adults",208,UHF42,Canarsie - Flatlands,2012-2014,01/02/2012,11.07,
Respiratory hospitalizations due to PM2.5 (age 20+),628547,650,Estimated annual rate,"per 100,000 adults",208,UHF42,Canarsie - Flatlands,2015-2017,01/01/2015,11.9,
Respiratory hospitalizations due to PM2.5 (age 20+),131514,650,Estimated annual rate,"per 100,000 adults",201,UHF42,Greenpoint,2009-2011,01/01/2009,10,
Respiratory hospitalizations due to PM2.5 (age 20+),131545,650,Estimated annual rate,"per 100,000 adults",501,UHF42,Port Richmond,2009-2011,01/01/2009,16.6,
Respiratory hospitalizations due to PM2.5 (age 20+),130890,650,Estimated annual rate,"per 100,000 adults",201,UHF42,Greenpoint,2005-2007,01/01/2005,18.4,
Respiratory hospitalizations due to PM2.5 (age 20+),518799,650,Estimated annual rate,"per 100,000 adults",201,UHF42,Greenpoint,2012-2014,01/02/2012,8.23,
Respiratory hospitalizations due to PM2.5 (age 20+),131515,650,Estimated annual rate,"per 100,000 adults",202,UHF42,Downtown - Heights - Slope,2009-2011,01/01/2009,13.1,
Respiratory hospitalizations due to PM2.5 (age 20+),131540,650,Estimated annual rate,"per 100,000 adults",406,UHF42,Fresh Meadows,2009-2011,01/01/2009,9.7,
Respiratory hospitalizations due to PM2.5 (age 20+),130891,650,Estimated annual rate,"per 100,000 adults",202,UHF42,Downtown - Heights - Slope,2005-2007,01/01/2005,20.7,
Respiratory hospitalizations due to PM2.5 (age 20+),628553,650,Estimated annual rate,"per 100,000 adults",303,UHF42,East Harlem,2015-2017,01/01/2015,20.3,
Respiratory hospitalizations due to PM2.5 (age 20+),518815,650,Estimated annual rate,"per 100,000 adults",306,UHF42,Chelsea - Clinton,2012-2014,01/02/2012,9.39,
Respiratory hospitalizations due to PM2.5 (age 20+),628556,650,Estimated annual rate,"per 100,000 adults",306,UHF42,Chelsea - Clinton,2015-2017,01/01/2015,6.9,
Respiratory hospitalizations due to PM2.5 (age 20+),628566,650,Estimated annual rate,"per 100,000 adults",406,UHF42,Fresh Meadows,2015-2017,01/01/2015,8.5,
Respiratory hospitalizations due to PM2.5 (age 20+),628558,650,Estimated annual rate,"per 100,000 adults",308,UHF42,Greenwich Village - SoHo,2015-2017,01/01/2015,4.7,
Respiratory hospitalizations due to PM2.5 (age 20+),628567,650,Estimated annual rate,"per 100,000 adults",407,UHF42,Southwest Queens,2015-2017,01/01/2015,9,
Respiratory hospitalizations due to PM2.5 (age 20+),628568,650,Estimated annual rate,"per 100,000 adults",408,UHF42,Jamaica,2015-2017,01/01/2015,10.5,
Respiratory hospitalizations due to PM2.5 (age 20+),628569,650,Estimated annual rate,"per 100,000 adults",409,UHF42,Southeast Queens,2015-2017,01/01/2015,8.2,
Respiratory hospitalizations due to PM2.5 (age 20+),130929,650,Estimated annual rate,"per 100,000 adults",4,Borough,Queens,2005-2007,01/01/2005,15.7,
Respiratory hospitalizations due to PM2.5 (age 20+),628562,650,Estimated annual rate,"per 100,000 adults",402,UHF42,West Queens,2015-2017,01/01/2015,8.6,
Respiratory hospitalizations due to PM2.5 (age 20+),518810,650,Estimated annual rate,"per 100,000 adults",301,UHF42,Washington Heights,2012-2014,01/02/2012,10.48,
Respiratory hospitalizations due to PM2.5 (age 20+),518825,650,Estimated annual rate,"per 100,000 adults",406,UHF42,Fresh Meadows,2012-2014,01/02/2012,8.06,
Respiratory hospitalizations due to PM2.5 (age 20+),130916,650,Estimated annual rate,"per 100,000 adults",406,UHF42,Fresh Meadows,2005-2007,01/01/2005,15.2,
Respiratory hospitalizations due to PM2.5 (age 20+),518832,650,Estimated annual rate,"per 100,000 adults",503,UHF42,Willowbrook,2012-2014,01/02/2012,13.54,
Respiratory hospitalizations due to PM2.5 (age 20+),628573,650,Estimated annual rate,"per 100,000 adults",503,UHF42,Willowbrook,2015-2017,01/01/2015,14.1,
Respiratory hospitalizations due to PM2.5 (age 20+),131547,650,Estimated annual rate,"per 100,000 adults",503,UHF42,Willowbrook,2009-2011,01/01/2009,13.5,
Respiratory hospitalizations due to PM2.5 (age 20+),131537,650,Estimated annual rate,"per 100,000 adults",403,UHF42,Flushing - Clearview,2009-2011,01/01/2009,11.3,
Respiratory hospitalizations due to PM2.5 (age 20+),628565,650,Estimated annual rate,"per 100,000 adults",405,UHF42,Ridgewood - Forest Hills,2015-2017,01/01/2015,10,
Respiratory hospitalizations due to PM2.5 (age 20+),518824,650,Estimated annual rate,"per 100,000 adults",405,UHF42,Ridgewood - Forest Hills,2012-2014,01/02/2012,10.68,
Respiratory hospitalizations due to PM2.5 (age 20+),518822,650,Estimated annual rate,"per 100,000 adults",403,UHF42,Flushing - Clearview,2012-2014,01/02/2012,8.85,
Respiratory hospitalizations due to PM2.5 (age 20+),628563,650,Estimated annual rate,"per 100,000 adults",403,UHF42,Flushing - Clearview,2015-2017,01/01/2015,10.2,
Respiratory hospitalizations due to PM2.5 (age 20+),130913,650,Estimated annual rate,"per 100,000 adults",403,UHF42,Flushing - Clearview,2005-2007,01/01/2005,15,
Respiratory hospitalizations due to PM2.5 (age 20+),518830,650,Estimated annual rate,"per 100,000 adults",501,UHF42,Port Richmond,2012-2014,01/02/2012,13.97,
Respiratory hospitalizations due to PM2.5 (age 20+),628571,650,Estimated annual rate,"per 100,000 adults",501,UHF42,Port Richmond,2015-2017,01/01/2015,17.4,
Respiratory hospitalizations due to PM2.5 (age 20+),518820,650,Estimated annual rate,"per 100,000 adults",401,UHF42,Long Island City - Astoria,2012-2014,01/02/2012,9.75,
Respiratory hospitalizations due to PM2.5 (age 20+),628561,650,Estimated annual rate,"per 100,000 adults",401,UHF42,Long Island City - Astoria,2015-2017,01/01/2015,9.3,
Respiratory hospitalizations due to PM2.5 (age 20+),130921,650,Estimated annual rate,"per 100,000 adults",501,UHF42,Port Richmond,2005-2007,01/01/2005,18.5,
Respiratory hospitalizations due to PM2.5 (age 20+),131535,650,Estimated annual rate,"per 100,000 adults",401,UHF42,Long Island City - Astoria,2009-2011,01/01/2009,12.3,
Respiratory hospitalizations due to PM2.5 (age 20+),518827,650,Estimated annual rate,"per 100,000 adults",408,UHF42,Jamaica,2012-2014,01/02/2012,9.85,
Respiratory hospitalizations due to PM2.5 (age 20+),518826,650,Estimated annual rate,"per 100,000 adults",407,UHF42,Southwest Queens,2012-2014,01/02/2012,8.27,
Respiratory hospitalizations due to PM2.5 (age 20+),130907,650,Estimated annual rate,"per 100,000 adults",307,UHF42,Gramercy Park - Murray Hill,2005-2007,01/01/2005,13,
Respiratory hospitalizations due to PM2.5 (age 20+),628572,650,Estimated annual rate,"per 100,000 adults",502,UHF42,Stapleton - St. George,2015-2017,01/01/2015,17.6,
Respiratory hospitalizations due to PM2.5 (age 20+),518831,650,Estimated annual rate,"per 100,000 adults",502,UHF42,Stapleton - St. George,2012-2014,01/02/2012,16.19,
Respiratory hospitalizations due to PM2.5 (age 20+),518821,650,Estimated annual rate,"per 100,000 adults",402,UHF42,West Queens,2012-2014,01/02/2012,7.46,
Respiratory hospitalizations due to PM2.5 (age 20+),131546,650,Estimated annual rate,"per 100,000 adults",502,UHF42,Stapleton - St. George,2009-2011,01/01/2009,17.3,
Respiratory hospitalizations due to PM2.5 (age 20+),131536,650,Estimated annual rate,"per 100,000 adults",402,UHF42,West Queens,2009-2011,01/01/2009,9.6,
Respiratory hospitalizations due to PM2.5 (age 20+),518811,650,Estimated annual rate,"per 100,000 adults",302,UHF42,Central Harlem - Morningside Heights,2012-2014,01/02/2012,16.52,
Respiratory hospitalizations due to PM2.5 (age 20+),628552,650,Estimated annual rate,"per 100,000 adults",302,UHF42,Central Harlem - Morningside Heights,2015-2017,01/01/2015,14.9,
Respiratory hospitalizations due to PM2.5 (age 20+),518800,650,Estimated annual rate,"per 100,000 adults",202,UHF42,Downtown - Heights - Slope,2012-2014,01/02/2012,10.24,
Respiratory hospitalizations due to PM2.5 (age 20+),628541,650,Estimated annual rate,"per 100,000 adults",202,UHF42,Downtown - Heights - Slope,2015-2017,01/01/2015,7.8,
Respiratory hospitalizations due to PM2.5 (age 20+),131543,650,Estimated annual rate,"per 100,000 adults",409,UHF42,Southeast Queens,2009-2011,01/01/2009,10,
Respiratory hospitalizations due to PM2.5 (age 20+),518828,650,Estimated annual rate,"per 100,000 adults",409,UHF42,Southeast Queens,2012-2014,01/02/2012,6.92,
Respiratory hospitalizations due to PM2.5 (age 20+),518829,650,Estimated annual rate,"per 100,000 adults",410,UHF42,Rockaways,2012-2014,01/02/2012,10.21,
Respiratory hospitalizations due to PM2.5 (age 20+),628570,650,Estimated annual rate,"per 100,000 adults",410,UHF42,Rockaways,2015-2017,01/01/2015,16.9,
Respiratory hospitalizations due to PM2.5 (age 20+),130899,650,Estimated annual rate,"per 100,000 adults",210,UHF42,Coney Island - Sheepshead Bay,2005-2007,01/01/2005,22.3,
Respiratory hospitalizations due to PM2.5 (age 20+),130920,650,Estimated annual rate,"per 100,000 adults",410,UHF42,Rockaways,2005-2007,01/01/2005,30.6,
Respiratory hospitalizations due to PM2.5 (age 20+),131534,650,Estimated annual rate,"per 100,000 adults",310,UHF42,Lower Manhattan,2009-2011,01/01/2009,5.8,
Respiratory hospitalizations due to PM2.5 (age 20+),130915,650,Estimated annual rate,"per 100,000 adults",405,UHF42,Ridgewood - Forest Hills,2005-2007,01/01/2005,18.3,
Respiratory hospitalizations due to PM2.5 (age 20+),130923,650,Estimated annual rate,"per 100,000 adults",503,UHF42,Willowbrook,2005-2007,01/01/2005,17.8,
Respiratory hospitalizations due to PM2.5 (age 20+),130903,650,Estimated annual rate,"per 100,000 adults",303,UHF42,East Harlem,2005-2007,01/01/2005,44.8,
Respiratory hospitalizations due to PM2.5 (age 20+),518812,650,Estimated annual rate,"per 100,000 adults",303,UHF42,East Harlem,2012-2014,01/02/2012,22.18,
Respiratory hospitalizations due to PM2.5 (age 20+),628542,650,Estimated annual rate,"per 100,000 adults",203,UHF42,Bedford Stuyvesant - Crown Heights,2015-2017,01/01/2015,12.4,
Respiratory hospitalizations due to PM2.5 (age 20+),130922,650,Estimated annual rate,"per 100,000 adults",502,UHF42,Stapleton - St. George,2005-2007,01/01/2005,20.2,
Respiratory hospitalizations due to PM2.5 (age 20+),131532,650,Estimated annual rate,"per 100,000 adults",308,UHF42,Greenwich Village - SoHo,2009-2011,01/01/2009,5.4,
Respiratory hospitalizations due to PM2.5 (age 20+),130918,650,Estimated annual rate,"per 100,000 adults",408,UHF42,Jamaica,2005-2007,01/01/2005,17.9,
Respiratory hospitalizations due to PM2.5 (age 20+),130917,650,Estimated annual rate,"per 100,000 adults",407,UHF42,Southwest Queens,2005-2007,01/01/2005,13.4,
Respiratory hospitalizations due to PM2.5 (age 20+),518816,650,Estimated annual rate,"per 100,000 adults",307,UHF42,Gramercy Park - Murray Hill,2012-2014,01/02/2012,8.89,
Respiratory hospitalizations due to PM2.5 (age 20+),518817,650,Estimated annual rate,"per 100,000 adults",308,UHF42,Greenwich Village - SoHo,2012-2014,01/02/2012,5.28,
Respiratory hospitalizations due to PM2.5 (age 20+),628557,650,Estimated annual rate,"per 100,000 adults",307,UHF42,Gramercy Park - Murray Hill,2015-2017,01/01/2015,6.9,
Respiratory hospitalizations due to PM2.5 (age 20+),518805,650,Estimated annual rate,"per 100,000 adults",207,UHF42,East Flatbush - Flatbush,2012-2014,01/02/2012,10.56,
Respiratory hospitalizations due to PM2.5 (age 20+),628546,650,Estimated annual rate,"per 100,000 adults",207,UHF42,East Flatbush - Flatbush,2015-2017,01/01/2015,9.7,
Respiratory hospitalizations due to PM2.5 (age 20+),628560,650,Estimated annual rate,"per 100,000 adults",310,UHF42,Lower Manhattan,2015-2017,01/01/2015,6.6,
Respiratory hospitalizations due to PM2.5 (age 20+),518818,650,Estimated annual rate,"per 100,000 adults",309,UHF42,Union Square - Lower East Side,2012-2014,01/02/2012,11.96,
Respiratory hospitalizations due to PM2.5 (age 20+),628559,650,Estimated annual rate,"per 100,000 adults",309,UHF42,Union Square - Lower East Side,2015-2017,01/01/2015,10.7,
Respiratory hospitalizations due to PM2.5 (age 20+),518808,650,Estimated annual rate,"per 100,000 adults",210,UHF42,Coney Island - Sheepshead Bay,2012-2014,01/02/2012,13.69,
Respiratory hospitalizations due to PM2.5 (age 20+),628549,650,Estimated annual rate,"per 100,000 adults",210,UHF42,Coney Island - Sheepshead Bay,2015-2017,01/01/2015,14.7,
Respiratory hospitalizations due to PM2.5 (age 20+),518804,650,Estimated annual rate,"per 100,000 adults",206,UHF42,Borough Park,2012-2014,01/02/2012,9.06,
Respiratory hospitalizations due to PM2.5 (age 20+),518795,650,Estimated annual rate,"per 100,000 adults",104,UHF42,Pelham - Throgs Neck,2012-2014,01/02/2012,13.87,
Respiratory hospitalizations due to PM2.5 (age 20+),131528,650,Estimated annual rate,"per 100,000 adults",304,UHF42,Upper West Side,2009-2011,01/01/2009,11.6,
Respiratory hospitalizations due to PM2.5 (age 20+),131548,650,Estimated annual rate,"per 100,000 adults",504,UHF42,South Beach - Tottenville,2009-2011,01/01/2009,11.7,
Respiratory hospitalizations due to PM2.5 (age 20+),628532,650,Estimated annual rate,"per 100,000 adults",5,Borough,Staten Island,2015-2017,01/01/2015,15,
Respiratory hospitalizations due to PM2.5 (age 20+),518809,650,Estimated annual rate,"per 100,000 adults",211,UHF42,Williamsburg - Bushwick,2012-2014,01/02/2012,15.94,
Respiratory hospitalizations due to PM2.5 (age 20+),628554,650,Estimated annual rate,"per 100,000 adults",304,UHF42,Upper West Side,2015-2017,01/01/2015,8.5,
Respiratory hospitalizations due to PM2.5 (age 20+),131538,650,Estimated annual rate,"per 100,000 adults",404,UHF42,Bayside - Little Neck,2009-2011,01/01/2009,10.2,
